"","Station","hour","minutezone","bikesout","bikesin","bikediff"
"1","100 Main Street SE",0,"0_14",0.15668202764977,-0.0691244239631336,0.0875576036866359
"2","100 Main Street SE",0,"15_29",0.354838709677419,-0.110599078341014,0.244239631336406
"3","100 Main Street SE",0,"30_44",0.0737327188940092,-0.0460829493087558,0.0276497695852535
"4","100 Main Street SE",0,"45_59",0.0414746543778802,-0.0737327188940092,-0.032258064516129
"5","100 Main Street SE",1,"0_14",0.0414746543778802,-0.0829493087557604,-0.0414746543778802
"6","100 Main Street SE",1,"15_29",0.032258064516129,-0.105990783410138,-0.0737327188940092
"7","100 Main Street SE",1,"30_44",0.0276497695852535,-0.0414746543778802,-0.0138248847926267
"8","100 Main Street SE",1,"45_59",0.0506912442396313,-0.0276497695852535,0.0230414746543779
"9","100 Main Street SE",2,"0_14",0.0138248847926267,-0.00460829493087558,0.00921658986175115
"10","100 Main Street SE",2,"15_29",0.0184331797235023,-0.00921658986175115,0.00921658986175115
"11","100 Main Street SE",2,"30_44",0.0138248847926267,-0.00460829493087558,0.00921658986175115
"12","100 Main Street SE",2,"45_59",0.0138248847926267,-0.00921658986175115,0.00460829493087558
"13","100 Main Street SE",3,"0_14",0.00921658986175115,-0.00921658986175115,0
"14","100 Main Street SE",3,"30_44",0,-0.00460829493087558,-0.00460829493087558
"15","100 Main Street SE",4,"0_14",0.00460829493087558,-0.00460829493087558,0
"16","100 Main Street SE",4,"30_44",0.00460829493087558,0,0.00460829493087558
"17","100 Main Street SE",5,"0_14",0.00460829493087558,-0.00460829493087558,0
"18","100 Main Street SE",5,"30_44",0.00460829493087558,-0.00921658986175115,-0.00460829493087558
"19","100 Main Street SE",5,"45_59",0.00460829493087558,0,0.00460829493087558
"20","100 Main Street SE",6,"0_14",0.0552995391705069,0,0.0552995391705069
"21","100 Main Street SE",6,"15_29",0.0138248847926267,-0.00460829493087558,0.00921658986175115
"22","100 Main Street SE",6,"30_44",0.0414746543778802,-0.0460829493087558,-0.00460829493087558
"23","100 Main Street SE",6,"45_59",0.0230414746543779,-0.0230414746543779,0
"24","100 Main Street SE",7,"0_14",0.0506912442396313,-0.0460829493087558,0.00460829493087558
"25","100 Main Street SE",7,"15_29",0.0506912442396313,-0.221198156682028,-0.170506912442396
"26","100 Main Street SE",7,"30_44",0.0691244239631336,-0.0276497695852535,0.0414746543778802
"27","100 Main Street SE",7,"45_59",0.142857142857143,-0.138248847926267,0.00460829493087556
"28","100 Main Street SE",8,"0_14",0.0783410138248848,-0.0967741935483871,-0.0184331797235023
"29","100 Main Street SE",8,"15_29",0.0921658986175115,-0.0460829493087558,0.0460829493087558
"30","100 Main Street SE",8,"30_44",0.373271889400922,-0.0875576036866359,0.285714285714286
"31","100 Main Street SE",8,"45_59",0.0875576036866359,-0.142857142857143,-0.0552995391705069
"32","100 Main Street SE",9,"0_14",0.138248847926267,-0.216589861751152,-0.0783410138248848
"33","100 Main Street SE",9,"15_29",0.184331797235023,-0.244239631336406,-0.0599078341013825
"34","100 Main Street SE",9,"30_44",0.161290322580645,-0.170506912442396,-0.00921658986175117
"35","100 Main Street SE",9,"45_59",0.152073732718894,-0.23963133640553,-0.0875576036866359
"36","100 Main Street SE",10,"0_14",0.267281105990783,-0.290322580645161,-0.0230414746543779
"37","100 Main Street SE",10,"15_29",0.341013824884793,-0.23963133640553,0.101382488479263
"38","100 Main Street SE",10,"30_44",0.377880184331797,-0.308755760368664,0.0691244239631336
"39","100 Main Street SE",10,"45_59",0.451612903225806,-0.589861751152074,-0.138248847926267
"40","100 Main Street SE",11,"0_14",0.387096774193548,-0.511520737327189,-0.124423963133641
"41","100 Main Street SE",11,"15_29",0.511520737327189,-0.557603686635945,-0.0460829493087558
"42","100 Main Street SE",11,"30_44",0.410138248847926,-0.589861751152074,-0.179723502304147
"43","100 Main Street SE",11,"45_59",0.682027649769585,-0.80184331797235,-0.119815668202765
"44","100 Main Street SE",12,"0_14",0.47926267281106,-0.608294930875576,-0.129032258064516
