0,30205,30009,30010,30024,30025,30029,30032,30051,30053,30085,30088,30093,30094,30098,30115,30144,30172,30180,30186,30190
30205,0,2.8162,4.7419,2.1459,2.4317,4.0611,2.3906,3.9476,4.8056,3.1782,3.5372,4.2943,4.3329,5.3627,2.0436,5.0059,3.6212,5.5444,4.405,3.1986
30009,2.8162,0,2.9069,0.67029,0.38446,1.8546,0.42562,1.9663,2.0562,5.9944,0.72099,3.2422,5.3053,2.5465,0.7726,2.1897,0.805,2.7282,1.9138,0.38236
30010,4.7419,2.9069,0,2.596,2.7926,1.0522,3.0717,0.94054,0.85067,7.9201,2.4979,0.44756,2.3985,2.3376,2.7024,1.7441,2.4194,1.1413,0.99308,3.1532
30024,2.1459,0.67029,2.596,0,0.28583,1.9152,0.5491,1.8017,2.6597,5.3241,1.3913,2.8579,4.921,3.2168,0.17986,2.86,1.4753,3.3985,2.2591,1.0527
30025,2.4317,0.38446,2.7926,0.28583,0,1.7403,0.27907,1.8521,2.3739,5.61,1.1055,3.1279,5.1911,2.931,0.38814,2.5741,1.1895,3.1127,1.9733,0.76683
30029,4.0611,1.8546,1.0522,1.9152,1.7403,0,2.0194,0.11351,0.74447,7.2394,1.4456,1.3876,3.4507,1.3016,2.0175,0.94473,1.3672,1.4833,0.34388,2.101
30032,2.3906,0.42562,3.0717,0.5491,0.27907,2.0194,0,2.1311,2.415,5.5688,1.1466,3.407,5.4701,2.9721,0.36924,2.6153,1.2306,3.1538,2.0786,0.80798
30051,3.9476,1.9663,0.94054,1.8017,1.8521,0.11351,2.1311,0,0.85798,7.1259,1.5574,1.2758,3.339,1.4151,1.904,1.0582,1.4789,1.5968,0.45739,2.2127
30053,4.8056,2.0562,0.85067,2.6597,2.3739,0.74447,2.415,0.85798,0,7.9838,1.6472,1.186,3.2491,1.4869,2.762,0.89339,1.5687,0.73882,0.40059,2.3026
30085,3.1782,5.9944,7.9201,5.3241,5.61,7.2394,5.5688,7.1259,7.9838,0,6.7154,7.4726,6.2986,8.5409,5.2218,8.1841,6.7994,8.7227,7.5832,6.3768
30088,3.5372,0.72099,2.4979,1.3913,1.1055,1.4456,1.1466,1.5574,1.6472,6.7154,0,2.8332,4.8963,1.8255,1.4936,1.4687,0.084009,2.0072,1.5048,0.65534
30093,4.2943,3.2422,0.44756,2.8579,3.1279,1.3876,3.407,1.2758,1.186,7.4726,2.8332,0,2.0631,2.6729,3.0377,2.0794,2.7547,1.4766,1.3284,3.4885
30094,4.3329,5.3053,2.3985,4.921,5.1911,3.4507,5.4701,3.339,3.2491,6.2986,4.8963,2.0631,0,4.7361,5.1009,4.1425,4.8179,3.5398,3.3915,5.5517
30098,5.3627,2.5465,2.3376,3.2168,2.931,1.3016,2.9721,1.4151,1.4869,8.5409,1.8255,2.6729,4.7361,0,3.3191,0.59355,1.7415,1.1963,1.3445,2.1642
30115,2.0436,0.7726,2.7024,0.17986,0.38814,2.0175,0.36924,1.904,2.762,5.2218,1.4936,3.0377,5.1009,3.3191,0,2.9623,1.5776,3.5008,2.3614,1.155
30144,5.0059,2.1897,1.7441,2.86,2.5741,0.94473,2.6153,1.0582,0.89339,8.1841,1.4687,2.0794,4.1425,0.59355,2.9623,0,1.3847,0.60274,0.75097,1.8073
30172,3.6212,0.805,2.4194,1.4753,1.1895,1.3672,1.2306,1.4789,1.5687,6.7994,0.084009,2.7547,4.8179,1.7415,1.5776,1.3847,0,1.9232,1.4263,0.73383
30180,5.5444,2.7282,1.1413,3.3985,3.1127,1.4833,3.1538,1.5968,0.73882,8.7227,2.0072,1.4766,3.5398,1.1963,3.5008,0.60274,1.9232,0,1.1394,2.3459
30186,4.405,1.9138,0.99308,2.2591,1.9733,0.34388,2.0786,0.45739,0.40059,7.5832,1.5048,1.3284,3.3915,1.3445,2.3614,0.75097,1.4263,1.1394,0,2.1601
30190,3.1986,0.38236,3.1532,1.0527,0.76683,2.101,0.80798,2.2127,2.3026,6.3768,0.65534,3.4885,5.5517,2.1642,1.155,1.8073,0.73383,2.3459,2.1601,0
