0,30205,30011,30014,30029,30041,30042,30051,30074,30088,30098,30115,30172,30180,30183,30186,30189,30190,30201
30205,0,5.0208,1.7578,4.0611,3.1557,4.2855,3.9476,1.3734,3.5372,5.3627,2.0436,3.6212,5.5444,2.2938,4.405,1.3314,3.1986,6.6575
30011,5.0208,0,3.2629,0.95964,1.8651,0.7353,1.0731,3.7689,1.4836,0.93607,2.9772,1.3996,0.52366,2.727,0.61576,3.6894,1.8222,1.6367
30014,1.7578,3.2629,0,2.3033,1.4094,2.5276,2.1898,1.8391,1.7794,3.6049,1.2336,1.8634,3.7866,0.93748,2.6472,1.6958,1.6844,4.8997
30029,4.0611,0.95964,2.3033,0,0.99289,0.35696,0.11351,2.8093,1.4456,1.3016,2.0175,1.3672,1.4833,1.7673,0.34388,2.7297,2.101,2.5964
30041,3.1557,1.8651,1.4094,0.99289,0,1.1298,0.88118,3.2485,2.4385,2.2783,2.6431,2.36,2.3887,2.3469,1.2493,3.1052,3.0939,3.5018
30042,4.2855,0.7353,2.5276,0.35696,1.1298,0,0.33785,3.0336,1.8026,1.6423,2.2419,1.7241,1.259,1.9917,0.2978,2.9541,2.4579,2.372
30051,3.9476,1.0731,2.1898,0.11351,0.88118,0.33785,0,2.6958,1.5574,1.4151,1.904,1.4789,1.5968,1.6538,0.45739,2.6162,2.2127,2.7099
30074,1.3734,3.7689,1.8391,2.8093,3.2485,3.0336,2.6958,0,2.2853,4.1109,0.79174,2.3693,4.2926,1.0419,3.1532,0.14328,1.9467,5.4057
30088,3.5372,1.4836,1.7794,1.4456,2.4385,1.8026,1.5574,2.2853,0,1.8255,1.4936,0.084009,2.0072,1.2434,1.5048,2.2058,0.65534,3.1203
30098,5.3627,0.93607,3.6049,1.3016,2.2783,1.6423,1.4151,4.1109,1.8255,0,3.3191,1.7415,1.1963,3.0689,1.3445,4.0313,2.1642,2.4247
30115,2.0436,2.9772,1.2336,2.0175,2.6431,2.2419,1.904,0.79174,1.4936,3.3191,0,1.5776,3.5008,0.29614,2.3614,0.71222,1.155,4.6139
30172,3.6212,1.3996,1.8634,1.3672,2.36,1.7241,1.4789,2.3693,0.084009,1.7415,1.5776,0,1.9232,1.3274,1.4263,2.2898,0.73383,3.0363
30180,5.5444,0.52366,3.7866,1.4833,2.3887,1.259,1.5968,4.2926,2.0072,1.1963,3.5008,1.9232,0,3.2506,1.1394,4.213,2.3459,1.2285
30183,2.2938,2.727,0.93748,1.7673,2.3469,1.9917,1.6538,1.0419,1.2434,3.0689,0.29614,1.3274,3.2506,0,2.1112,0.9624,0.90478,4.3637
30186,4.405,0.61576,2.6472,0.34388,1.2493,0.2978,0.45739,3.1532,1.5048,1.3445,2.3614,1.4263,1.1394,2.1112,0,3.0736,2.1601,2.2525
30189,1.3314,3.6894,1.6958,2.7297,3.1052,2.9541,2.6162,0.14328,2.2058,4.0313,0.71222,2.2898,4.213,0.9624,3.0736,0,1.8672,5.3261
30190,3.1986,1.8222,1.6844,2.101,3.0939,2.4579,2.2127,1.9467,0.65534,2.1642,1.155,0.73383,2.3459,0.90478,2.1601,1.8672,0,3.4589
30201,6.6575,1.6367,4.8997,2.5964,3.5018,2.372,2.7099,5.4057,3.1203,2.4247,4.6139,3.0363,1.2285,4.3637,2.2525,5.3261,3.4589,0
