Title,30205,30000,30001,30002,30003,30004,30005,30006,30007,30008,30009,30010,30011,30012,30013,30014,30015,30016,30017,30018,30019,30020,30021,30022,30023,30024,30025,30026,30027,30028,30029,30030,30031,30032,30033,30034,30035,30037,30038,30039,30040,30041,30042,30043,30044,30045,30046,30047,30048,30049,30050,30051,30052,30053,30054,30055,30056,30057,30058,30059,30060,30061,30062,30063,30064,30065,30066,30067,30068,30069,30070,30071,30073,30074,30075,30076,30077,30078,30079,30080,30081,30082,30083,30085,30086,30087,30088,30089,30090,30091,30092,30093,30094,30095,30096,30097,30098,30099,30100,30101,30102,30103,30104,30105,30106,30107,30108,30109,30110,30111,30112,30113,30114,30115,30116,30117,30118,30119,30120,30121,30122,30123,30124,30125,30126,30127,30128,30129,30130,30131,30132,30133,30134,30135,30136,30137,30138,30139,30140,30141,30142,30143,30144,30145,30146,30147,30148,30149,30150,30151,30152,30153,30154,30155,30156,30157,30158,30159,30160,30161,30162,30163,30164,30165,30166,30167,30168,30169,30170,30171,30172,30173,30174,30175,30176,30177,30178,30179,30180,30181,30182,30183,30184,30185,30186,30187,30188,30189,30190,30191,30192,30193,30194,30195,30196,30197,30198,30199,30201,30202,30203,30204
30205,0,4.0952,0.4358,1.9993,7.1801,4.6095,4.2316,4.2745,3.8955,2.4704,2.8162,4.7419,5.0208,4.0939,3.8942,1.7578,2.8242,4.5916,4.1037,3.1622,2.4228,4.3143,4.7872,3.7193,2.2549,2.1459,2.4317,1.9138,2.4676,4.3678,4.0611,4.1875,1.7022,2.3906,2.6435,1.6392,4.6751,2.7272,2.3474,4.2862,4.1779,3.1557,4.2855,4.6165,4.2167,1.2041,3.4553,4.2105,4.4118,4.3337,4.24,3.9476,4.208,4.8056,2.8287,1.8331,5.2341,1.8798,2.5666,6.3742,3.7472,4.5712,5.3236,3.3305,3.2019,5.6706,7.2161,6.9148,7.2555,7.1947,7.9198,6.5494,5.0044,1.3734,1.6542,1.9693,2.4921,3.6043,3.0055,1.4533,0.4188,4.5976,2.189,3.1782,3.5629,3.5844,3.5372,5.5049,3.8193,4.5177,5.5146,4.2943,4.3329,4.8614,5.4684,3.6898,5.3627,4.4755,6.0202,5.1311,5.4661,5.4934,4.8553,4.0294,5.923,5.1533,2.5711,2.7516,2.894,3.5246,5.3233,3.9933,4.1432,2.0436,6.3182,6.7242,7.1147,7.4311,7.4659,7.1267,7.4552,6.1472,6.7379,6.4713,7.2359,7.1421,6.9172,7.7369,7.7839,7.7494,7.4439,6.773,7.3056,6.8695,7.2179,6.037,5.6228,6.5572,6.2009,6.8206,4.6965,3.5964,5.0059,6.289,9.5064,1.0877,2.3123,2.8729,5.8393,5.3493,5.6823,4.5026,3.3008,2.3873,3.7979,6.2846,4.8621,6.3476,4.1392,1.1207,2.0858,1.818,4.0826,6.9708,6.3944,1.7373,6.8437,6.3635,4.3891,3.8989,3.6212,6.4744,3.3291,6.1039,5.0571,6.4626,4.3507,3.6566,5.5444,5.1616,2.9527,2.2938,4.5585,4.5207,4.405,4.378,4.1457,1.3314,3.1986,1.5803,2.0969,2.0268,1.5929,2.5095,2.1848,2.5932,2.7046,4.7306,6.6575,4.0703,7.0192,4.8143
30000,4.0952,0,3.6594,2.0959,3.0849,1.8325,0.41531,1.9284,1.4897,2.6982,1.279,2.1622,0.92558,2.0481,4.122,2.3374,1.271,2.9512,3.341,2.8866,1.6724,4.542,0.83855,3.683,2.4827,1.9493,1.6635,2.1814,1.6276,0.8271,1.11,0.63949,2.393,1.7046,1.6371,2.456,2.428,1.368,1.7478,1.7163,1.7721,2.1028,1.4669,4.8443,4.1813,2.8911,0.63994,0.19911,3.5502,4.5615,0.85576,1.2217,2.1748,1.3115,3.0565,3.1951,1.2447,2.2154,1.5286,2.7958,2.6151,4.799,1.8317,1.2141,3.4297,1.5754,3.8236,2.8197,3.1603,3.0995,3.8246,2.4542,5.2322,2.8433,4.0115,4.6869,6.1617,6.2359,6.6787,3.3783,4.4086,8.3497,6.2842,7.2734,7.658,1.6078,0.558,5.7327,0.66584,0.73957,1.4194,2.4975,4.5607,5.0892,1.3732,3.9176,1.2675,8.5707,6.2034,9.2263,5.8782,9.5886,1.162,7.8766,10.018,8.9035,1.9974,2.5238,1.5635,7.2871,2.2285,3.8159,4.371,2.0516,10.413,10.819,11.21,11.526,11.561,11.222,11.55,10.203,10.833,10.566,11.331,11.237,11.012,11.832,11.879,11.845,11.539,10.868,11.401,10.965,11.313,10.132,9.4345,10.496,10.012,10.916,1.647,0.5184,0.91067,2.1938,5.4112,5.1829,6.4075,6.9681,9.9345,1.2541,1.5871,8.5978,0.79436,6.4825,5.4874,6.5124,5.0899,10.443,4.367,3.8352,6.181,4.9304,8.1778,7.1986,6.6222,5.8325,2.7485,2.2683,0.29387,0.27533,0.47399,2.3792,7.4243,2.0087,0.96191,2.3674,0.49465,0.80301,1.4492,1.126,1.1425,1.8014,0.87692,0.53073,1.1691,2.8699,1.4439,2.7638,0.99102,3.5787,1.9983,2.0684,2.5023,1.5857,1.9104,1.502,1.3906,8.8258,2.5623,0.58124,7.247,1.7144
30001,0.4358,3.6594,0,1.5635,6.7443,4.1737,3.7958,3.8387,3.4597,2.5556,2.3804,4.3061,4.585,3.6581,3.9793,1.322,2.3884,4.1558,3.6679,2.7439,1.987,4.3994,4.3514,3.5403,2.34,1.7101,1.9959,1.478,2.0318,3.932,3.6253,3.7517,1.4504,1.9548,2.2077,1.2034,4.2393,2.2914,1.9116,3.8504,3.7421,2.7199,3.8497,4.7017,4.0386,0.76835,3.0195,3.7747,3.976,4.4189,3.8042,3.5118,3.7722,4.3698,2.9138,1.7479,4.7983,1.444,2.1308,5.9384,3.3114,4.6564,4.8878,2.8947,3.287,5.2348,6.7803,6.4791,6.8197,6.7589,7.484,6.1136,5.0895,1.2883,1.5691,1.8842,2.5023,3.5192,3.0193,1.5385,0.74923,4.6903,2.6248,3.614,3.9986,3.1486,3.1014,5.5901,3.3835,4.0819,5.0788,3.8585,4.418,4.9466,5.0326,3.775,4.9269,4.9113,5.9351,5.5669,5.3809,5.9292,4.4195,4.2172,6.3588,5.2441,2.1353,2.6665,2.4582,3.6277,4.8876,3.9081,4.2283,1.6078,6.754,7.16,7.5505,7.8669,7.9017,7.5625,7.891,6.5439,7.1737,6.9071,7.6717,7.5779,7.353,8.1727,8.2197,8.1852,7.8797,7.2088,7.7414,7.3053,7.6537,6.4728,5.7751,6.837,6.3531,7.2564,4.2607,3.1606,4.5701,5.8532,9.0706,1.5235,2.7481,3.3087,6.2751,4.9135,5.2465,4.9384,2.865,2.8231,3.883,6.3698,4.9473,6.7834,4.2243,1.2059,2.5216,1.9032,4.5184,7.056,6.4796,2.1731,6.4079,5.9277,3.9533,3.4631,3.1854,6.0386,3.7649,5.6681,4.6213,6.0268,3.9149,3.2208,5.1086,4.7258,2.5169,1.858,4.1227,4.0849,3.9692,3.9422,3.7099,1.145,2.7628,1.4951,1.6611,1.591,1.1966,2.0737,1.749,2.1574,2.2688,5.1664,6.2217,3.6345,7.1043,4.3785
30002,1.9993,2.0959,1.5635,0,5.1809,2.6102,2.2323,2.2752,1.8962,2.3409,1.102,2.7426,3.0215,2.0946,3.7646,0.33609,0.82497,2.5939,2.9837,2.5293,0.42354,4.1847,2.7879,3.3257,2.1254,0.71766,0.98769,0.77199,0.46831,2.3685,2.0619,2.1882,1.665,1.2668,1.2797,1.0369,2.6758,0.7279,0.93664,2.2869,2.1787,1.7455,2.2862,4.487,3.824,0.79513,1.456,2.2112,3.1929,4.2042,2.2407,1.9483,2.2088,2.8063,2.6992,1.9626,3.2348,1.111,0.77607,4.3749,2.2578,4.4417,3.3243,1.3312,3.0724,3.6714,5.2169,4.9156,5.2563,5.1954,5.9205,4.5501,4.8749,1.503,1.9155,2.5909,4.0658,4.14,4.5828,1.3238,2.3127,6.2538,4.1883,5.1775,5.5621,1.5851,1.5379,5.3754,1.8201,2.5184,3.5153,2.295,4.2034,4.7319,3.4691,3.5603,3.3634,6.4747,6.1497,7.1304,5.5956,7.4927,2.856,5.7807,7.9222,6.8076,1.6401,2.8811,1.9208,5.1912,3.3241,4.1228,4.0137,0.89752,8.3175,8.7235,9.114,9.4303,9.4651,9.126,9.4545,8.1073,8.7372,8.4705,9.2351,9.1414,8.9165,9.7362,9.7831,9.7487,9.4431,8.7723,9.3049,8.8688,9.2171,8.0362,7.3386,8.4004,7.9166,8.8198,2.6972,1.5971,3.0066,4.2897,7.5071,3.087,4.3116,4.8722,7.8386,3.35,3.683,6.5019,1.3016,4.3866,3.6683,6.1551,4.7326,8.3469,4.0096,1.7393,4.0851,2.8345,6.0819,6.8413,6.2649,3.7365,4.8444,4.3642,2.3898,1.8997,1.6219,4.4751,5.3284,4.1046,3.0578,4.4633,2.3514,1.6573,3.5452,3.1623,0.95345,0.60138,2.5593,2.5214,2.4057,2.5126,2.1464,1.3597,1.3483,1.7098,1.1703,1.4607,1.4112,0.51027,1.0538,1.1674,0.70535,6.7299,4.6582,2.0711,6.8897,2.815
30003,7.1801,3.0849,6.7443,5.1809,0,2.5707,2.9485,2.9057,3.2847,5.3964,4.3639,2.4382,2.1594,3.0862,3.8492,5.4223,4.3559,2.5886,3.0764,4.0179,4.7573,3.1772,2.3929,3.4608,4.9275,5.0342,4.7484,5.2663,4.7125,2.8124,3.119,2.9927,5.4779,4.7895,4.5366,5.5409,2.5051,4.453,4.8328,2.894,3.0022,4.0244,2.8947,3.242,2.9634,5.976,3.7249,2.9697,2.7684,5.3646,2.9402,3.2325,2.9721,2.3745,4.7924,6.2801,1.946,5.3004,4.6135,0.80591,3.4329,3.5582,1.8565,3.8497,4.2082,1.5095,1.6385,1.3595,1.0504,1.9978,0.78332,0.67104,3.8563,5.9283,7.0964,7.7718,9.2467,9.3208,9.7636,6.4632,7.4936,11.435,9.3691,10.358,10.743,3.5957,3.6429,3.5475,3.3608,2.6624,1.6656,2.8858,4.0597,4.5013,2.8795,4.1817,2.3606,11.656,9.2883,12.311,8.9631,12.674,3.3471,10.962,13.103,11.988,4.609,5.189,4.2862,10.372,4.4136,6.9008,5.7538,5.1365,13.498,13.904,14.295,14.611,14.646,14.307,14.635,13.288,13.918,13.651,14.416,14.322,14.097,14.917,14.964,14.93,14.624,13.953,14.486,14.05,14.398,13.217,12.519,13.581,13.097,14.001,2.4836,3.5837,2.1743,2.2074,4.7149,8.2678,9.4924,10.053,13.019,1.9865,2.4916,11.683,3.8793,9.5675,8.5723,4.3272,3.0171,13.528,3.5746,6.9201,9.266,8.0153,11.263,5.0135,4.437,8.9174,3.3321,2.8614,2.7911,3.2812,3.5589,3.2873,10.509,3.1337,2.123,3.7022,2.8294,3.5235,1.6357,2.0185,4.2274,4.8863,2.6216,2.7159,2.7751,2.8021,3.0344,5.8487,3.9816,6.6637,5.0832,5.1533,5.5872,4.6706,4.9953,4.5869,4.4755,11.911,0.52261,3.1098,5.8798,3.8995
30004,4.6095,1.8325,4.1737,2.6102,2.5707,0,2.2478,0.335,0.71402,2.8257,2.5771,0.32975,1.0718,0.51557,2.2895,2.8516,1.7852,1.1187,1.5085,1.4473,2.1867,2.7096,0.99391,1.8505,2.3568,2.4636,2.4628,2.6956,2.1419,1.0054,0.72249,1.193,3.1402,2.7419,1.9659,2.9702,0.59552,1.8823,2.2621,0.32331,0.43153,1.4538,0.36553,3.0119,2.3488,3.4053,1.3198,2.0316,1.7177,2.794,0.9767,0.66185,0.40143,0.52092,2.2217,3.7094,0.62464,2.7297,2.2512,1.7647,0.86228,2.9666,0.71411,1.279,1.6375,1.0612,2.6067,2.3054,2.6461,2.5852,3.3103,1.9399,3.3997,3.3576,4.5257,5.2011,6.676,6.7502,7.193,3.8925,4.9229,8.864,6.7985,7.7877,8.1723,1.0251,2.1681,3.9003,1.1666,1.0929,1.0644,0.66506,2.7282,3.2567,2.5268,2.0852,2.0079,9.0849,7.6249,9.7406,7.0707,10.103,2.9944,8.3909,10.532,9.4178,2.0384,4.3563,3.3959,7.8014,4.0609,5.5979,3.1831,2.5659,10.928,11.334,11.724,12.041,12.075,11.736,12.065,10.718,11.347,11.081,11.845,11.752,11.527,12.346,12.393,12.359,12.053,11.383,11.915,11.479,11.827,10.646,9.9488,11.011,10.527,11.43,0.18544,1.3141,1.4143,1.8547,4.8969,5.6972,6.9218,7.4824,10.449,1.6338,2.1389,9.1121,1.5005,6.9968,6.0017,4.6799,3.2575,10.957,2.5345,4.3495,6.6953,5.4447,8.6921,5.3662,4.7898,6.3467,2.9794,2.5086,1.607,2.1078,2.0896,2.9346,7.9386,2.7809,0.94148,3.3495,2.3271,1.0294,0.93496,0.70645,2.4145,2.3157,0.95553,2.3632,0.66333,1.0375,0.46378,3.2781,2.8235,4.093,2.6455,2.9358,3.0165,2.0999,2.529,2.6425,2.0267,9.3401,2.048,1.2512,5.4145,3.5468
30005,4.2316,0.41531,3.7958,2.2323,2.9485,2.2478,0,2.3437,1.905,3.1135,1.4154,2.5775,1.176,2.4635,4.5373,2.4738,1.4074,3.3665,3.7563,3.3019,1.8088,4.9574,1.2539,4.0983,2.898,2.0857,1.7999,2.3178,1.764,1.2424,1.5253,1.0548,2.5294,1.841,2.0524,2.5924,2.8433,1.5044,1.8843,2.1316,2.1875,2.5182,1.8822,5.2596,4.5966,3.0275,0.92794,0.2162,3.9655,4.9768,1.2711,1.637,2.5901,1.7268,3.4718,3.3315,1.66,2.3518,1.665,3.2111,3.0304,5.2143,2.247,1.6294,3.845,1.439,4.2389,2.6832,3.0239,2.963,3.6882,2.3178,5.6475,2.9798,4.1479,4.8233,6.2981,6.3723,6.8151,3.5147,4.545,8.4861,6.4206,7.4098,7.7945,2.0231,0.69442,6.148,1.0811,1.1549,1.283,2.9128,4.976,5.5045,1.2368,4.3329,1.1311,8.7071,6.3398,9.3627,6.0146,9.7251,0.74665,8.013,10.155,9.04,2.4127,2.2404,1.3376,7.4236,1.8132,3.9523,4.7863,2.188,10.55,10.956,11.346,11.663,11.697,11.358,11.687,10.34,10.969,10.703,11.467,11.374,11.149,11.969,12.015,11.981,11.675,11.005,11.537,11.101,11.449,10.269,9.5709,10.633,10.149,11.052,2.0623,0.93371,0.83345,2.0573,5.2747,5.3193,6.5439,7.1045,10.071,1.1177,1.4507,8.7342,0.93078,6.6189,5.6238,6.9277,5.5052,10.579,4.7823,3.9716,6.3175,5.0668,8.3143,7.6139,7.0375,5.9689,2.6121,2.1319,0.64073,0.33268,0.61041,2.2427,7.5607,1.8723,1.3063,2.231,0.1191,1.2183,1.4362,1.5413,1.2789,1.9378,1.2922,0.28905,1.5844,3.2852,1.8592,2.9002,1.033,3.7151,2.1347,2.2048,2.6387,1.7221,2.0468,1.6384,1.527,8.9622,2.6646,0.99655,7.6623,1.2991
30006,4.2745,1.9284,3.8387,2.2752,2.9057,0.335,2.3437,0,0.43877,2.4907,2.6731,0.46741,1.1678,0.18057,2.1935,2.5166,1.619,1.0227,1.4125,1.1123,1.8517,2.6136,1.0899,1.7545,2.0218,2.2888,2.5588,2.3606,1.8069,1.1013,0.81847,1.2889,3.2361,2.8379,1.6309,2.6352,0.49955,1.5473,1.9271,0.21214,0.15628,1.1188,0.46151,2.9159,2.2528,3.0703,1.4158,2.1275,1.6218,2.6331,1.0727,0.70676,0.24642,0.61689,1.8867,3.5337,0.95964,2.6822,2.3472,2.0997,0.6867,2.8706,1.0491,0.944,1.5012,1.3962,2.9417,2.6404,2.9811,2.9202,3.6453,2.2749,3.3037,3.0741,4.1907,4.8661,6.341,6.4152,6.858,3.5575,4.5879,8.529,6.4635,7.4527,7.8373,0.69007,2.2641,3.8043,1.2626,1.1889,1.2401,0.56909,2.6322,3.1608,2.6228,1.9892,2.1038,8.7499,7.7208,9.4056,7.1667,9.7679,3.0904,8.0559,10.197,9.0828,1.7034,4.4523,3.4919,7.4664,4.1569,5.6939,2.8481,2.4686,10.593,10.999,11.389,11.706,11.74,11.401,11.73,10.383,11.012,10.746,11.51,11.417,11.192,12.011,12.058,12.024,11.718,11.048,11.58,11.144,11.492,10.311,9.6138,10.676,10.192,11.095,0.42201,1.41,1.5103,2.0145,5.2319,5.3622,6.5868,7.1474,10.114,1.7298,2.2348,8.7771,1.5964,6.6618,5.6667,4.584,3.1615,10.622,2.4385,4.0145,6.3603,5.1097,8.3571,5.2702,4.6938,6.0117,3.0754,2.6046,1.703,2.2038,2.1856,3.0306,7.6036,2.8769,1.0375,3.4455,2.4231,1.1254,1.27,0.88711,2.5105,2.1725,1.0515,2.4592,0.75931,0.94149,0.48454,2.9431,2.9194,3.758,2.7415,3.0318,2.9824,1.7907,2.6249,2.7385,2.1227,9.0051,2.383,1.3472,5.3185,3.6428
30007,3.8955,1.4897,3.4597,1.8962,3.2847,0.71402,1.905,0.43877,0,2.1117,2.2343,0.84643,1.1253,0.55849,2.6323,2.1376,1.1802,1.4615,1.8513,1.3969,1.4726,3.0524,0.89173,2.1933,1.6428,1.85,2.12,1.9816,1.4279,0.66255,0.3797,0.85017,2.7974,2.3991,1.2519,2.2562,0.93832,1.1683,1.5481,0.39071,0.28249,0.73976,0.39002,3.3546,2.6916,2.6913,0.97702,1.6888,2.0605,3.0719,0.6339,0.26799,0.68519,0.91015,1.5668,3.0949,1.3387,2.2434,1.9084,2.4788,1.1255,3.3094,1.4281,0.56498,1.94,1.7752,3.3207,3.0194,3.3601,3.2992,4.0243,2.6539,3.7425,2.6436,3.8117,4.4871,5.962,6.0361,6.4789,3.1785,4.2089,8.15,6.0845,7.0737,7.4583,0.31105,1.8253,4.2431,0.82381,0.75008,1.6191,1.0079,3.071,3.5995,2.184,2.428,1.6651,8.3709,7.2821,9.0266,6.7279,9.3889,2.6516,7.6769,9.8184,8.7038,1.3244,4.0135,3.0531,7.0874,3.7181,5.2551,2.8813,2.0299,10.214,10.62,11.01,11.327,11.361,11.022,11.351,10.004,10.633,10.367,11.131,11.038,10.813,11.632,11.679,11.645,11.339,10.668,11.201,10.765,11.113,9.9324,9.2348,10.297,9.8127,10.716,0.80103,0.97125,1.1104,2.3935,5.6109,4.9832,6.2078,6.7684,9.7348,1.4538,1.7961,8.398,1.1577,6.2828,5.2876,5.0227,3.6003,10.243,2.8773,3.6354,5.9813,4.7306,7.9781,5.709,5.1326,5.6327,2.9482,2.4681,1.2642,1.765,1.7469,2.5918,7.2245,2.4381,1.1616,3.0067,1.9843,0.68665,1.649,1.2661,2.0717,1.7337,0.66308,2.0204,0.50956,1.3803,0.25024,2.5641,2.4807,3.379,2.3027,2.593,2.5436,1.3859,2.1862,2.2997,1.6839,8.6261,2.7621,0.90841,5.7573,3.204
