"","Start.station","End.station","count"
"2955","Broadway Street N & 4th Street E","N Robert Street & E 10th Street",36
"2956","Cedar Street & Columbus Ave","5th Street E & Minnesota Street N",36
"2957","Chicago & 27th Street","4th Street S & 19th Ave",36
"2958","Chicago Ave & S Washington Ave","Park Ave & 4th Street S",36
"2959","Civil Engineering","Mariucci Arena",36
"2960","Civil Engineering","Williamson Hall",36
"2961","Como Ave SE & 29th Ave SE","Social Sciences",36
"2962","Curfew Street & Ellis Ave.","Mayo Memorial Building",36
"2963","Dale Street & Grand Ave.","N Milton Street & Summit Ave",36
"2964","E Franklin Ave & Bloomington Ave S","22nd Ave S & Franklin Ave",36
"2965","Elliot Hall","Como Ave SE & 29th Ave SE",36
"2966","Elliot Hall","Mariucci Arena",36
"2967","Elliot Hall","Riverside Ave & 23rd Ave S",36
"2968","Elliot Park","11th Ave S & S 2nd Street",36
"2969","Franklin & 11th Ave","E Franklin Ave & Bloomington Ave S",36
"2970","Franklin & 28th Ave","Midtown Greenway & 5th Ave S",36
"2971","Gateway Park","Broadway & Marshall Street NE",36
"2972","Gateway Park","Grant Street & Portland Ave",36
"2973","Hennepin County Government Center","3rd Street N & 8th Ave N",36
"2974","Hennepin County Government Center","Loring Park",36
"2975","IDS Center","Midtown Exchange",36
"2976","Kowalski's Market","University of St. Thomas",36
"2977","Lake Harriet Bandshell","W 31st Street & Hennepin Ave S",36
"2978","Lake Street & Knox Ave S","11th Street & Marquette",36
"2979","Loring Park","2nd Ave N & Washington Ave N",36
"2980","Lyndale Ave S & 22nd Street ","Groveland Ave & Clifton Place",36
"2981","Macalester College","Grand Ave & Fairview Ave",36
"2982","Mayo Memorial Building","23rd Ave SE & University Ave SE",36
"2983","Midtown Exchange","22nd Ave S & Franklin Ave",36
"2984","Midtown Exchange","Pleasant Ave S &  Lake Street",36
"2985","Midtown YWCA","Nice Ride World Headquarters",36
"2986","Minneapolis Park & Recreation Board","100 Main Street SE",36
"2987","Minnehaha Park","Lake Street & Knox Ave S",36
"2988","Mpls Convention Center","9th Street N & Hawthorne Ave",36
"2989","N 4th Ave & W River Parkway","Bohemian Flats",36
"2990","N 4th Ave & W River Parkway","Broadway & Marshall Street NE",36
"2991","N Washington Ave & 9th Ave N","Gateway Park",36
"2992","Nice Ride World Headquarters","25th Street & 33rd Ave S",36
"2993","Nicollet & Franklin","26th Street & Hennepin",36
"2994","Nicollet Mall & Grant Street","West 15th Street & Willow",36
"2995","Portland Ave & Washington Ave","Coffman Union",36
"2996","S 5th Street & Nicollet Mall","9th Street N & Hawthorne Ave",36
"2997","S 5th Street & Nicollet Mall","Marshall Street NE & 8th Ave NE",36
"2998","S 8th Street & 2nd Ave S","2nd Ave S & S 3rd Street",36
"2999","SE 3rd Ave & University Ave SE","22nd Ave NE & California Street NE",36
"3000","Sherburne Ave & Snelling Ave N","Fairview Ave & University Ave",36
"3001","Social Sciences","Como Ave SE & 29th Ave SE",36
"3002","Social Sciences","Elliot Hall",36
"3003","South 2nd Street & 3rd Ave S","N 4th Ave & W River Parkway",36
"3004","South 2nd Street & 3rd Ave S","Washington & Cedar",36
"3005","Target Field Station","S 8th Street & 2nd Ave S",36
"3006","W 31st Street & Hennepin Ave S","Walker Art Center",36
"3007","Walker Art Center","6th Ave SE & University Ave",36
"3008","Washington & Cedar","Bohemian Flats",36
"3009","Washington & Marquette","Minneapolis Park & Recreation Board",36
"3010","Washington Ave SE & Union Street SE","N 4th Ave & W River Parkway",36
"3011","West 15th Street & Willow","Mill City Quarter",36
"3012","Williamson Hall","North 2nd Street & 4th Ave N",36
"3013","Williamson Hall","SE 3rd Ave & University Ave SE",36
"3014","YWCA Downtown","Lyndale Ave S & 22nd Street ",36
"3015","YWCA Uptown","Dupont Ave S & W 29th Street",36
"3016","100 Main Street SE","5th Ave N & 4th Street N",35
"3017","100 Main Street SE","Grant Street & Portland Ave",35
"3018","100 Main Street SE","Malcolm Ave SE & 5th Street SE",35
"3019","100 Main Street SE","Walker Art Center",35
"3020","10th Street & Nicollet Mall","Gateway Park",35
"3021","11th Ave S & S 2nd Street","Broadway & Marshall Street NE",35
"3022","11th Ave S & S 2nd Street","SE 3rd Ave & University Ave SE",35
"3023","11th Ave S & S 2nd Street","Walker Art Center",35
"3024","11th Street & Hennepin","11th Ave S & S 2nd Street",35
"3025","11th Street & Hennepin","Franklin & Portland",35
"3026","11th Street & Hennepin","Park Ave & 4th Street S",35
"3027","11th Street & Hennepin","YWCA Downtown",35
"3028","11th Street & Marquette","Lyndale Ave S & 22nd Street ",35
"3029","15th Ave SE & Como Ave SE","4th Street S & 19th Ave",35
"3030","22nd Ave NE & California Street NE","18th Ave Trail & 2nd Street NE",35
"3031","22nd Ave S & Franklin Ave","Franklin & Portland",35
"3032","22nd Ave S & Franklin Ave","Midtown YWCA",35
"3033","26th Street & Hennepin","26th Street & Lyndale",35
"3034","26th Street & Lyndale","11th Street & Hennepin",35
"3035","26th Street & Lyndale","Nicollet & Franklin",35
"3036","27th Ave SE & University Ave","Civil Engineering",35
"3037","27th Ave SE & University Ave","Washington & Cedar",35
"3038","2nd Ave N & Washington Ave N","Gateway Park",35
"3039","2nd Ave S & S 3rd Street","Minneapolis Park & Recreation Board",35
"3040","2nd Street SE & 5th Ave SE","2nd Ave N & N 6th Street",35
"3041","38th Street Light Rail Station","Midtown YWCA",35
"3042","3rd Street N & 8th Ave N","11th Ave S & S 2nd Street",35
"3043","5th Ave N & 4th Street N","IDS Center",35
"3044","5th Street E & Minnesota Street N","Wabasha Street S & E Fillmore Ave",35
"3045","6th Ave SE & University Ave","23rd Ave SE & 6th Street SE",35
"3046","6th Ave SE & University Ave","Washington & Marquette",35
"3047","6th Ave SE & University Ave","Willey Hall",35
"3048","7th Street W & Grand Ave","Union Depot",35
"3049","9th Street & 4th Ave","26th Street & Lyndale",35
"3050","9th Street N & Hawthorne Ave","22nd Ave S & Franklin Ave",35
"3051","Bohemian Flats","Chicago Ave & S Washington Ave",35
"3052","Boom Island Park","Mill City Quarter",35
"3053","Broadway & Marshall Street NE","11th Ave S & S 2nd Street",35
"3054","Broadway Street N & 4th Street E","Union Depot",35
"3055","Chicago Ave & S Washington Ave","4th Street S & 19th Ave",35
"3056","Curfew Street & Ellis Ave.","15th Ave SE & Como Ave SE",35
"3057","Dale Street N & University Ave","Dale Street N & University Ave",35
"3058","Elliot Ave S & E 24th Street","Washington Ave SE & Union Street SE",35
"3059","Franklin & 28th Ave","East Lake Street & 36th Ave S",35
"3060","Franklin & 28th Ave","Washington Ave SE & Union Street SE",35
"3061","Gateway Park","Loring Park",35
"3062","Grant Street & Portland Ave","Chicago Ave & S Washington Ave",35
"3063","Hennepin & Central Avenue NE","2nd Ave N & Washington Ave N",35
"3064","Hennepin & Central Avenue NE","Central Ave NE & 22nd Ave NE",35
"3065","Hennepin Ave & S Washington Ave","2nd Ave N & Washington Ave N",35
"3066","Hennepin Ave & S Washington Ave","7th Street SE & 10th Ave SE",35
"3067","Hennepin County Government Center","Groveland Ave & Clifton Place",35
"3068","Hennepin County Government Center","Social Sciences",35
"3069","Kellogg Blvd & Wabasha Street","Science Museum of Minnesota",35
"3070","Lake Harriet Bandshell","Dupont Ave S & W 29th Street",35
"3071","Lake Street & Knox Ave S","Groveland Ave & Clifton Place",35
"3072","Lake Street & Knox Ave S","YWCA Downtown",35
"3073","Lake Street & West River Parkway","11th Ave S & S 2nd Street",35
"3074","Landmark Plaza","Kellogg Blvd & Wabasha Street",35
"3075","Loring Park","6th Ave SE & University Ave",35
"3076","Loring Park","9th Street N & Hawthorne Ave",35
"3077","Lyndale Ave S & 22nd Street ","10th Street & Nicollet Mall",35
"3078","Macalester College","Minnehaha Park",35
"3079","Mariucci Arena","Mayo Memorial Building",35
"3080","Marshall Street NE & Lowry Ave","North Mississippi Regional Park",35
"3081","Mayo Memorial Building","4th Street & 17th Ave SE",35
"3082","MCAD","YWCA Uptown",35
"3083","McNamara Center","South 2nd Street & 3rd Ave S",35
"3084","Midtown Exchange","Minnehaha Park",35
"3085","Minneapolis Farmers Market","West 15th Street & Willow",35
"3086","Minneapolis Farmers Market","YWCA Downtown",35
"3087","Minnesota History Center","Wells Fargo Place",35
"3088","N 4th Ave & W River Parkway","4th Street S & 19th Ave",35
"3089","N 4th Ave & W River Parkway","5th Ave N & 4th Street N",35
"3090","Nicollet & Franklin","Midtown Exchange",35
"3091","Nicollet Mall & Grant Street","11th Street & Marquette",35
"3092","North 2nd Street & 4th Ave N","Washington Ave N & Cedar Lake Trail",35
"3093","Portland Ave & Washington Ave","Loring Park",35
"3094","Portland Ave & Washington Ave","SE 3rd Ave & University Ave SE",35
"3095","Portland Ave & Washington Ave","YWCA Downtown",35
"3096","S 5th Street & Nicollet Mall","15th Ave SE & 4th Street SE",35
"3097","S 5th Street & Nicollet Mall","University Ave NE & 12th Ave NE",35
"3098","S 8th Street & 2nd Ave S","YWCA Uptown",35
"3099","Sanford Hall","Gateway Park",35
"3100","Selby Ave & Virginia Street","Mississippi River Blvd & Summit Ave",35
"3101","South 2nd Street & 3rd Ave S","9th Street N & Hawthorne Ave",35
"3102","South 2nd Street & 3rd Ave S","Loring Park",35
"3103","South 2nd Street & 3rd Ave S","Washington Ave N & Cedar Lake Trail",35
"3104","University & Bank Street SE","Washington & Marquette",35
"3105","University of St. Thomas","Cleveland Ave S & Highland Parkway",35
"3106","W 31st Street & Hennepin Ave S","26th Street & Lyndale",35
"3107","Washington & Cedar","Delaware Street SE & 26th Ave SE",35
"3108","Washington & Cedar","Willey Hall",35
"3109","Washington & Marquette","Chicago Ave & S Washington Ave",35
"3110","Washington Ave N & Cedar Lake Trail","IDS Center",35
"3111","West 15th Street & Willow","Groveland Ave & Clifton Place",35
"3112","West 15th Street & Willow","Washington & Cedar",35
"3113","West 34th Street  & Hennepin Ave S","West 32nd Street & Bryant Ave S",35
"3114","Willey Hall","Currie Park",35
"3115","Williamson Hall","Washington & Cedar",35
"3116","10th Street & Nicollet Mall","11th Ave S & S 2nd Street",34
"3117","10th Street & Nicollet Mall","S 5th Street & Nicollet Mall",34
"3118","11th Street & Hennepin","9th Street N & Hawthorne Ave",34
"3119","15th Ave SE & 4th Street SE","4th Street & 13th Ave SE",34
"3120","15th Ave SE & 4th Street SE","Portland Ave & Washington Ave",34
"3121","22nd Ave S & Franklin Ave","E Franklin Ave & Bloomington Ave S",34
"3122","23rd Ave SE & University Ave SE","S 5th Street & Nicollet Mall",34
"3123","25th Street & 33rd Ave S","Midtown Greenway & 5th Ave S",34
"3124","26th Street & Lyndale","W 31st Street & Hennepin Ave S",34
"3125","2nd Ave N & N 6th Street","10th Street & Nicollet Mall",34
"3126","2nd Ave S & S 3rd Street","9th Street & 4th Ave",34
"3127","2nd Street N & 8th Ave N","10th Street & Nicollet Mall",34
"3128","2nd Street N & 8th Ave N","Minneapolis Farmers Market",34
"3129","4th Street & 13th Ave SE","South 2nd Street & 3rd Ave S",34
"3130","6th Ave SE & University Ave","Target Field Station",34
"3131","9th Street N & Hawthorne Ave","Gateway Park",34
"3132","9th Street N & Hawthorne Ave","Minneapolis Farmers Market",34
"3133","Chicago & 27th Street","Lake Street & Knox Ave S",34
"3134","Cooke Hall","Mayo Memorial Building",34
"3135","Dupont Ave & 22nd Street","W 36th Street & W Calhoun Parkway",34
"3136","Dupont Ave S & W 29th Street","Midtown Greenway & 5th Ave S",34
"3137","East Lake Street & 36th Ave S","27th Ave S & Minnehaha Ave",34
"3138","Elliot Park","IDS Center",34
"3139","Englewood Ave & N Asbury Street","Hamline Ave N & University Ave",34
"3140","Franklin & Portland","Nicollet & Franklin",34
"3141","Hennepin & Central Avenue NE","IDS Center",34
"3142","Hennepin & Laurel Ave","Elliot Park",34
"3143","Hennepin & Laurel Ave","Hennepin County Government Center",34
"3144","Hennepin & Laurel Ave","Lyndale Ave S & 22nd Street ",34
"3145","Hennepin Ave & S Washington Ave","Elliot Park",34
"3146","Hennepin County Government Center","7th Street & 4th Ave S",34
"3147","Hennepin County Government Center","Minneapolis Farmers Market",34
"3148","IDS Center","3rd Street N & 8th Ave N",34
"3149","IDS Center","SE 3rd Ave & University Ave SE",34
"3150","Lake Calhoun Center","Lyndale Ave S & 22nd Street ",34
"3151","Lake Calhoun Center","Wirth Beach",34
"3152","Lake Harriet Bandshell","YWCA Uptown",34
"3153","Loring Park","South 2nd Street & 3rd Ave S",34
"3154","Lyndale Ave S & W 29th Street","11th Street & Hennepin",34
"3155","Mariucci Arena","4th Street & 13th Ave SE",34
"3156","Mariucci Arena","6th Ave SE & University Ave",34
"3157","Mariucci Arena","Oak Street Ramp",34
"3158","McNamara Center","Como Ave SE & 29th Ave SE",34
"3159","Midtown Exchange","East Lake Street & 36th Ave S",34
"3160","Midtown Greenway & 5th Ave S","Nicollet Ave & W 37th Street",34
"3161","Midtown YWCA","Minnehaha Park",34
"3162","Mill City Quarter","2nd Street N & 8th Ave N",34
"3163","Minneapolis Farmers Market","2nd Ave S & S 3rd Street",34
"3164","Minneapolis Park & Recreation Board","Washington & Marquette",34
"3165","Mpls Convention Center","10th Street & Nicollet Mall",34
"3166","Mpls Convention Center","Lake Street & Knox Ave S",34
"3167","Mpls Convention Center","S 8th Street & 2nd Ave S",34
"3168","North 2nd Street & 4th Ave N","Lake Street & Knox Ave S",34
"3169","North 2nd Street & 4th Ave N","University Ave NE & 12th Ave NE",34
"3170","Oak Street Ramp","Mississippi River Blvd & Summit Ave",34
"3171","Portland Ave & Washington Ave","Mill City Quarter",34
"3172","S 5th Street & Nicollet Mall","Minneapolis Park & Recreation Board",34
"3173","Sanford Hall","15th Ave SE & Como Ave SE",34
"3174","Science Museum of Minnesota","Kellogg Blvd W & Smith Ave",34
"3175","Social Sciences","Chicago Ave & S Washington Ave",34
"3176","University & Bank Street SE","University Ave NE & 12th Ave NE",34
"3177","University Ave NE & 12th Ave NE","5th Street NE & 1st Ave NE",34
"3178","University of St. Thomas","Grand Ave & Fairview Ave",34
"3179","W 36th Street & W Calhoun Parkway","28th Street & Nicollet Ave. S",34
"3180","Washington Ave SE & Union Street SE","Portland Ave & Washington Ave",34
"3181","YWCA Downtown","Minneapolis Farmers Market",34
"3182","100 Main Street SE","15th Ave SE & Como Ave SE",33
"3183","100 Main Street SE","23rd Ave SE & University Ave SE",33
"3184","100 Main Street SE","Elliot Hall",33
"3185","11th Ave S & S 2nd Street","Washington Ave N & Cedar Lake Trail",33
"3186","11th Street & Hennepin","26th Street & Hennepin",33
"3187","11th Street & Hennepin","2nd Street SE & 5th Ave SE",33
"3188","11th Street & Hennepin","9th Street & 4th Ave",33
"3189","11th Street & Marquette","2nd Ave S & S 3rd Street",33
"3190","11th Street & Marquette","Plymouth Ave N &  N Oliver Ave",33
"3191","22nd Ave NE & California Street NE","Portland Ave & Washington Ave",33
"3192","22nd Ave S & Franklin Ave","Riverside Ave & 23rd Ave S",33
"3193","23rd Ave SE & University Ave SE","Franklin & 28th Ave",33
"3194","2nd Ave N & N 6th Street","Portland Ave & Washington Ave",33
"3195","2nd Ave N & Washington Ave N","Lyndale Ave S & 22nd Street ",33
"3196","2nd Ave S & S 3rd Street","Washington Ave N & Cedar Lake Trail",33
"3197","2nd Street SE & 5th Ave SE","6th Ave SE & University Ave",33
"3198","4th Street & 13th Ave SE","2nd Street SE & 5th Ave SE",33
"3199","4th Street & 17th Ave SE","Mayo Memorial Building",33
"3200","6th Ave SE & University Ave","7th Street SE & 10th Ave SE",33
"3201","7th Street & 4th Ave S","5th Street NE & 3rd Ave NE",33
"3202","9th Street & 4th Ave","Loring Park",33
"3203","9th Street N & Hawthorne Ave","YWCA Downtown",33
"3204","Boom Island Park","Logan Park",33
"3205","Carleton Street & University Ave ","Malcolm Ave SE & 5th Street SE",33
"3206","Civil Engineering","23rd Ave SE & University Ave SE",33
"3207","Civil Engineering","Broadway & Marshall Street NE",33
"3208","Currie Park","Hennepin & Laurel Ave",33
"3209","Dupont Ave S & W 29th Street","Nicollet & Franklin",33
"3210","Franklin & 28th Ave","Mayo Memorial Building",33
"3211","Gateway Park","Boom Island Park",33
"3212","Gateway Park","Hennepin County Government Center",33
"3213","Gateway Park","N 4th Ave & W River Parkway",33
"3214","Gateway Park","Walker Art Center",33
"3215","Grant Street & Portland Ave","MCAD",33
"3216","Groveland Ave & Clifton Place","Dupont Ave S & W 29th Street",33
"3217","Hennepin Ave & S Washington Ave","Washington & Marquette",33
"3218","Hiawatha Ave & E 50th Street","Oak Street Ramp",33
"3219","IDS Center","2nd Ave N & N 6th Street",33
"3220","IDS Center","5th Ave N & 4th Street N",33
"3221","IDS Center","Franklin & 11th Ave",33
"3222","IDS Center","McNamara Center",33
"3223","IDS Center","N Washington Ave & 9th Ave N",33
"3224","Kowalski's Market","Grand Ave & Fairview Ave",33
"3225","Lake Calhoun Center","Mill City Quarter",33
"3226","Lake Calhoun Center","Target Field Station",33
"3227","Logan Park","Central Ave NE & 22nd Ave NE",33
"3228","Logan Park","Gateway Park",33
"3229","Loring Park","YWCA Uptown",33
"3230","Mariucci Arena","4th Street & 17th Ave SE",33
"3231","Mariucci Arena","North 2nd Street & 4th Ave N",33
"3232","Marshall Street NE & 8th Ave NE","University & Bank Street SE",33
"3233","Minnesota History Center","Cedar Street & Columbus Ave",33
"3234","Minnesota History Center","Minnesota Dept. of Transportation",33
"3235","Minnesota History Center","N Robert Street & E 10th Street",33
"3236","Mpls Convention Center","7th Street & 4th Ave S",33
"3237","N 4th Ave & W River Parkway","IDS Center",33
"3238","Nicollet & Franklin","2nd Ave N & Washington Ave N",33
"3239","Nicollet & Franklin","Midtown Greenway & 5th Ave S",33
"3240","Nicollet Ave & W 37th Street","Lake Harriet Bandshell",33
"3241","Nicollet Ave & W 37th Street","MCAD",33
"3242","Nicollet Island","11th Street & Hennepin",33
"3243","Nicollet Mall & Grant Street","Lyndale Ave S & W 29th Street",33
"3244","Oak Street Ramp","22nd Ave S & Franklin Ave",33
"3245","Oak Street Ramp","University Ave SE & Bedford Street SE",33
"3246","Park Ave & 4th Street S","Midtown Exchange",33
"3247","S 5th Street & Nicollet Mall","Logan Park",33
"3248","S 5th Street & Nicollet Mall","S 8th Street & 2nd Ave S",33
"3249","SE 3rd Ave & University Ave SE","Hennepin Ave & S Washington Ave",33
"3250","South 2nd Street & 3rd Ave S","4th Street & 13th Ave SE",33
"3251","South 2nd Street & 3rd Ave S","Minnehaha Park",33
"3252","South 2nd Street & 3rd Ave S","Nicollet Island",33
"3253","University & Bank Street SE","Washington & Cedar",33
"3254","W 31st Street & Hennepin Ave S","Nicollet Ave & W 37th Street",33
"3255","W 31st Street & Hennepin Ave S","Upton Ave S & Sheridan Ave S",33
"3256","W 36th Street & W Calhoun Parkway","Dupont Ave & 22nd Street",33
"3257","Walker Art Center","Lake Harriet Bandshell",33
"3258","Washington & Cedar","Hennepin Ave & S Washington Ave",33
"3259","Washington & Cedar","N Washington Ave & 9th Ave N",33
"3260","Washington & Cedar","West 15th Street & Willow",33
"3261","Washington & Marquette","2nd Street SE & 5th Ave SE",33
"3262","Washington & Marquette","Park Ave & 4th Street S",33
"3263","Washington Ave N & Cedar Lake Trail","6th Ave SE & University Ave",33
"3264","Weisman Art Museum","Franklin & 11th Ave",33
"3265","Williamson Hall","Mariucci Arena",33
"3266","YWCA Downtown","Chicago Ave & S Washington Ave",33
"3267","YWCA Downtown","Nicollet Island",33
"3268","YWCA Downtown","West 32nd Street & Bryant Ave S",33
"3269","100 Main Street SE","27th Ave SE & University Ave",32
"3270","100 Main Street SE","Mpls Convention Center",32
"3271","11th Ave S & S 2nd Street","15th Ave SE & Como Ave SE",32
"3272","11th Ave S & S 2nd Street","Oak Street Ramp",32
"3273","11th Street & Hennepin","W 31st Street & Hennepin Ave S",32
"3274","11th Street & Marquette","Lake Street & Knox Ave S",32
"3275","11th Street & Marquette","N 4th Ave & W River Parkway",32
"3276","15th Ave SE & Como Ave SE","Sanford Hall",32
"3277","23rd Ave SE & 6th Street SE","Civil Engineering",32
"3278","26th Street & Hennepin","W 31st Street & Hennepin Ave S",32
"3279","27th Ave SE & University Ave","Mill City Quarter",32
"3280","3rd Street NE & Lowry Ave NE","3rd Street NE & Lowry Ave NE",32
"3281","4th Street & 17th Ave SE","Delaware Street SE & 26th Ave SE",32
"3282","5th Street NE & 3rd Ave NE","Logan Park",32
"3283","9th Street N & Hawthorne Ave","Lake Calhoun Center",32
"3284","Central Ave NE & 22nd Ave NE","Gateway Park",32
"3285","Chicago Ave & S Washington Ave","Grant Street & Portland Ave",32
"3286","Chicago Ave & S Washington Ave","YWCA Downtown",32
"3287","Cleveland Ave S & Highland Parkway","Wilder Street & Marshall Ave",32
"3288","Como Ave SE & 29th Ave SE","McNamara Center",32
"3289","Dupont Ave & 22nd Street","Dupont Ave S & W 29th Street",32
"3290","Dupont Ave & 22nd Street","MCAD",32
"3291","E 38th Street & 42nd Ave S","Cooke Hall",32
"3292","Franklin & 28th Ave","23rd Ave SE & 6th Street SE",32
"3293","Franklin & 28th Ave","Washington & Cedar",32
"3294","Gateway Park","9th Street & 4th Ave",32
"3295","Grand Ave & Fairview Ave","Mississippi River Blvd & Summit Ave",32
"3296","Grand Ave & Fairview Ave","University of St. Thomas",32
"3297","Grant Street & Portland Ave","100 Main Street SE",32
"3298","Grant Street & Portland Ave","Nicollet & Franklin",32
"3299","Groveland Ave & Clifton Place","Hennepin County Government Center",32
"3300","Hamline Ave N & University Ave","Englewood Ave & N Asbury Street",32
"3301","Hennepin & Central Avenue NE","Park Ave & 4th Street S",32
"3302","Hennepin & Central Avenue NE","Portland Ave & Washington Ave",32
"3303","Hennepin Ave & S Washington Ave","Loring Park",32
"3304","Hennepin County Government Center","Logan Park",32
"3305","Hennepin County Government Center","Washington & Marquette",32
"3306","Kowalski's Market","Mississippi River Blvd & Summit Ave",32
"3307","Lake Calhoun Center","28th Street & Nicollet Ave. S",32
"3308","Landmark Plaza","7th Street E & Wacouta Street",32
"3309","Logan Park","5th Street NE & 3rd Ave NE",32
"3310","Logan Park","Marshall Street NE & 8th Ave NE",32
"3311","Logan Park","North 2nd Street & 4th Ave N",32
"3312","Loring Park","Portland Ave & Washington Ave",32
"3313","Lyndale Ave S & 22nd Street ","Midtown Greenway & 5th Ave S",32
"3314","Lyndale Ave S & W 29th Street","West 34th Street  & Hennepin Ave S",32
"3315","Midtown Exchange","26th Street & Hennepin",32
"3316","Midtown YWCA","Lake Street & Knox Ave S",32
"3317","Minneapolis Park & Recreation Board","26th Street & Hennepin",32
"3318","Minnesota History Center","N Milton Street & Summit Ave",32
"3319","N 4th Ave & W River Parkway","Mariucci Arena",32
"3320","N Milton Street & Summit Ave","Dale Street & Grand Ave.",32
"3321","N Robert Street & E 10th Street","Kellogg Blvd E & Jackson Street",32
"3322","Nicollet Mall & Grant Street","2nd Ave N & N 6th Street",32
"3323","Riverside Ave & 23rd Ave S","Social Sciences",32
"3324","Riverside Ave & 23rd Ave S","Willey Hall",32
"3325","S 5th Street & Nicollet Mall","2nd Ave S & S 3rd Street",32
"3326","S 8th Street & 2nd Ave S","SE 3rd Ave & University Ave SE",32
"3327","Science Museum of Minnesota","Broadway Street N & 4th Street E",32
"3328","South 2nd Street & 3rd Ave S","Nicollet & Franklin",32
"3329","Target Field Station","IDS Center",32
"3330","Target Field Station","West 15th Street & Willow",32
"3331","University Ave SE & Bedford Street SE","McNamara Center",32
"3332","W 31st Street & Hennepin Ave S","Dupont Ave & 22nd Street",32
"3333","Walker Art Center","28th Street & Nicollet Ave. S",32
"3334","Walker Art Center","IDS Center",32
"3335","Washington & Cedar","Como Ave SE & 29th Ave SE",32
"3336","Washington & Marquette","YWCA Downtown",32
"3337","Washington Ave N & Cedar Lake Trail","N Washington Ave & 9th Ave N",32
"3338","Washington Ave SE & Union Street SE","Bohemian Flats",32
"3339","Washington Ave SE & Union Street SE","Cooke Hall",32
"3340","West 34th Street  & Hennepin Ave S","W 36th Street & W Calhoun Parkway",32
"3341","West 36th Street & Bryant Ave S","Lake Street & Humboldt",32
"3342","Wilder Street & Marshall Ave","Macalester College",32
"3343","YWCA Downtown","2nd Ave S & S 3rd Street",32
"3344","YWCA Downtown","Mill City Quarter",32
"3345","YWCA Uptown","Nicollet & Franklin",32
"3346","100 Main Street SE","Elliot Park",31
"3347","10th Street & Nicollet Mall","2nd Ave N & N 6th Street",31
"3348","10th Street & Nicollet Mall","2nd Ave N & Washington Ave N",31
"3349","11th Ave S & S 2nd Street","27th Ave SE & University Ave",31
"3350","11th Ave S & S 2nd Street","3rd Street N & 8th Ave N",31
"3351","11th Ave S & S 2nd Street","Marshall Street NE & 8th Ave NE",31
"3352","11th Street & Hennepin","Hennepin & Central Avenue NE",31
"3353","11th Street & Marquette","Nicollet Island",31
"3354","15th Ave SE & 4th Street SE","2nd Ave N & N 6th Street",31
"3355","15th Ave SE & Como Ave SE","Hennepin & Central Avenue NE",31
"3356","22nd Ave S & Franklin Ave","11th Ave S & S 2nd Street",31
"3357","22nd Ave S & Franklin Ave","Williamson Hall",31
"3358","23rd Ave SE & 6th Street SE","7th Street SE & 10th Ave SE",31
"3359","23rd Ave SE & 6th Street SE","Franklin & 28th Ave",31
"3360","26th Street & Hennepin","MCAD",31
"3361","28th Street & Nicollet Ave. S","Nicollet Ave & W 37th Street",31
"3362","2nd Ave N & N 6th Street","4th Street & 13th Ave SE",31
"3363","2nd Ave N & Washington Ave N","Hennepin County Government Center",31
"3364","2nd Ave N & Washington Ave N","Logan Park",31
"3365","2nd Street SE & 5th Ave SE","4th Street S & 19th Ave",31
"3366","2nd Street SE & 5th Ave SE","Mill City Quarter",31
"3367","2nd Street SE & 5th Ave SE","N 4th Ave & W River Parkway",31
"3368","38th Street Light Rail Station","Nicollet Ave & W 37th Street",31
"3369","4th Street S & 19th Ave","Como Ave SE & 29th Ave SE",31
"3370","5th Ave N & 4th Street N","S 5th Street & Nicollet Mall",31
"3371","5th Street NE & 1st Ave NE","5th Street NE & 1st Ave NE",31
"3372","7th Street & 4th Ave S","Lyndale Ave S & W 29th Street",31
"3373","7th Street E & Wacouta Street","Upper Landing",31
"3374","9th Street N & Hawthorne Ave","Lyndale Ave S & 22nd Street ",31
"3375","Bohemian Flats","South 2nd Street & 3rd Ave S",31
"3376","Cedar Street & Columbus Ave","Kellogg Blvd E & Jackson Street",31
"3377","Central Ave NE & 22nd Ave NE","Marshall Street NE & Lowry Ave",31
"3378","Chicago & 27th Street","4th Street & 13th Ave SE",31
"3379","Chicago Ave & S Washington Ave","15th Ave SE & 4th Street SE",31
"3380","Currie Park","Washington & Cedar",31
"3381","Dale Street & Grand Ave.","Kellogg Blvd W & Smith Ave",31
"3382","Dupont Ave S & W 29th Street","W 31st Street & Hennepin Ave S",31
"3383","E 38th Street & 42nd Ave S","27th Ave S & Minnehaha Ave",31
"3384","East Lake Street & 36th Ave S","E 38th Street & 42nd Ave S",31
"3385","Elliot Hall","15th Ave SE & 4th Street SE",31
"3386","Elliot Hall","Midtown YWCA",31
"3387","Elliot Park","Broadway & Marshall Street NE",31
"3388","Franklin & 28th Ave","Weisman Art Museum",31
"3389","Gateway Park","Logan Park",31
"3390","Gateway Park","YWCA Downtown",31
"3391","Grant Street & Portland Ave","9th Street N & Hawthorne Ave",31
"3392","Hennepin & Laurel Ave","7th Street & 4th Ave S",31
"3393","Hennepin & Laurel Ave","Currie Park",31
"3394","Hennepin Ave & S Washington Ave","9th Street & 4th Ave",31
"3395","Hennepin County Government Center","5th Street NE & 1st Ave NE",31
"3396","Hiawatha Ave & E 50th Street","Lake Street & West River Parkway",31
"3397","IDS Center","10th Street & Nicollet Mall",31
"3398","IDS Center","4th Street S & 19th Ave",31
"3399","IDS Center","5th Street NE & 3rd Ave NE",31
