"","Start.station","End.station","count"
"114","Kellogg Blvd & Wabasha Street","Kellogg Blvd & Wabasha Street",338
"115","Washington Ave SE & Union Street SE","Delaware Street SE & 26th Ave SE",334
"116","Williamson Hall","Willey Hall",334
"117","Williamson Hall","4th Street & 13th Ave SE",330
"118","Williamson Hall","Coffman Union",330
"119","15th Ave SE & 4th Street SE","15th Ave SE & 4th Street SE",328
"120","Lyndale Ave S & W 29th Street","Lyndale Ave S & W 29th Street",328
"121","Washington Ave S & 10th Ave S","Washington Ave S & 10th Ave S",328
"122","Como Park Conservatory","Como Park Conservatory",325
"123","10th Street & Nicollet Mall","West 15th Street & Willow",324
"124","27th Ave SE & University Ave","McNamara Center",323
"125","Lake Street & Humboldt","Lake Street & Humboldt",322
"126","South 2nd Street & 3rd Ave S","South 2nd Street & 3rd Ave S",321
"127","Willey Hall","Oak Street Ramp",320
"128","YWCA Downtown","West 15th Street & Willow",320
"129","15th Ave SE & 4th Street SE","Willey Hall",319
"130","Coffman Union","4th Street & 13th Ave SE",319
"131","YWCA Uptown","YWCA Uptown",319
"132","27th Ave SE & University Ave","23rd Ave SE & University Ave SE",318
"133","11th Street & Marquette","11th Street & Marquette",316
"134","23rd Ave SE & 6th Street SE","McNamara Center",315
"135","4th Street & 13th Ave SE","Weisman Art Museum",313
"136","Washington Ave SE & Union Street SE","Oak Street Ramp",313
"137","IDS Center","IDS Center",312
"138","Minnehaha Park","Lake Street & West River Parkway",311
"139","Chicago Ave & S Washington Ave","North 2nd Street & 4th Ave N",310
"140","Washington Ave S & 10th Ave S","Hennepin County Government Center",309
"141","W 36th Street & W Calhoun Parkway","Lake Calhoun Center",308
"142","Sanford Hall","Sanford Hall",307
"143","Hennepin County Government Center","Washington Ave S & 10th Ave S",306
"144","5th Ave N & 4th Street N","3rd Street N & 8th Ave N",305
"145","Oak Street Ramp","Willey Hall",305
"146","Coffman Union","27th Ave SE & University Ave",301
"147","4th Street & 13th Ave SE","Coffman Union",298
"148","15th Ave SE & 4th Street SE","Social Sciences",297
"149","McNamara Center","27th Ave SE & University Ave",297
