,weekday,Stationnumber,A,E,M,Initial,Total docks
156,Mon,30158,-2,-5,0,19,41
157,Mon,30159,-1,-1,3,9,19
158,Mon,30160,-1,-1,3,8,15
159,Mon,30161,-1,-4,1,8,15
160,Mon,30162,0,-3,0,8,15
161,Mon,30163,-1,0,1,8,15
162,Mon,30164,-1,-2,-3,8,15
163,Mon,30165,-1,-1,4,8,15
164,Mon,30166,1,-1,4,9,19
165,Mon,30167,-5,-1,3,8,15
166,Mon,30168,-1,1,1,8,15
167,Mon,30169,-1,1,0,8,15
168,Mon,30170,-2,-3,2,8,15
169,Mon,30171,-2,-3,5,8,15
170,Mon,30172,-7,-9,10,8,15
171,Mon,30173,0,-2,0,8,15
172,Mon,30174,-2,-1,1,8,15
173,Mon,30175,1,1,1,8,15
174,Mon,30176,1,0,1,9,19
175,Mon,30177,-3,-2,3,8,15
176,Mon,30178,1,-3,5,8,15
177,Mon,30179,-1,8,-1,13,27
178,Mon,30180,-1,-6,9,9,19
179,Mon,30181,3,4,-4,11,23
180,Mon,30182,1,-6,6,11,23
181,Mon,30183,9,1,-9,9,19
182,Mon,30184,2,6,-1,11,23
183,Mon,30185,0,-5,4,8,15
184,Mon,30186,11,4,-10,9,19
185,Mon,30187,-1,-5,5,9,19
186,Mon,30188,8,-2,-7,9,19
187,Mon,30189,-1,-7,10,9,19
188,Mon,30190,-2,-8,6,8,15
189,Mon,30191,3,-1,3,8,15
190,Mon,30192,-1,6,-3,8,15
191,Mon,30193,-3,6,-2,12,25
192,Mon,30194,-1,-2,1,11,23
193,Mon,30195,4,1,-6,11,23
194,Mon,30196,2,4,-7,11,23
195,Mon,30197,-1,-1,3,11,23
196,Mon,30198,-2,0,-3,8,15
197,Mon,30199,3,-2,2,9,19
198,Mon,30201,-3,-2,8,8,15
199,Mon,30202,-2,-3,7,11,23
200,Mon,30203,2,-3,2,11,23
201,Mon,30204,0,-1,2,8,15
202,Mon,30205,2,0,1,4,7
