"","Stationnumber","date","weekday","RidesOut","RidesIn","Rideoutminusin","Name","Latitude","Longitude","Total.docks"
"62","30190",2017-11-05,"Sun",1,0,1,"7th Street SE & 10th Ave SE",44.985576,-93.238743,15
"63","30012",2017-11-05,"Sun",4,3,1,"Mpls Convention Center",44.970041,-93.275861,19
"64","30024",2017-11-05,"Sun",2,4,-2,"Coffman Union",44.973378,-93.234762,35
"65","30198",2017-11-05,"Sun",1,1,0,"Bohemian Flats",44.976223,-93.2416,15
"66","30185",2017-11-05,"Sun",1,0,1,"5th Street NE & 3rd Ave NE",44.991821,-93.255558,15
"67","30037",2017-11-05,"Sun",2,2,0,"Currie Park",44.969225,-93.251136,15
"68","30020",2017-11-05,"Sun",3,1,2,"YWCA Uptown",44.95131,-93.29853,19
"69","30043",2017-11-05,"Sun",1,4,-3,"Lake Street & Humboldt",44.94865,-93.30077,19
"70","30049",2017-11-05,"Sun",1,2,-1,"Nicollet Ave & W 37th Street",44.93531794,-93.27807784,15
"71","30015",2017-11-05,"Sun",3,3,0,"Washington & Cedar",44.97344,-93.24748,20
"72","30062",2017-11-05,"Sun",2,3,-1,"Minneapolis Farmers Market",44.98052,-93.28542,15
"73","30166",2017-11-05,"Sun",1,1,0,"W 36th Street & W Calhoun Parkway",44.937817,-93.320212,19
"74","30093",2017-11-05,"Sun",2,6,-4,"West 15th Street & Willow",44.968237,-93.281991,23
"75","30125",2017-11-05,"Sun",1,0,1,"Cedar Street & Columbus Ave",44.95235098,-93.09954867,15
"76","30026",2017-11-05,"Sun",1,2,-1,"Mayo Memorial Building",44.97209,-93.23206,25
"77","30017",2017-11-05,"Sun",2,5,-3,"Lyndale Ave S & 22nd Street ",44.960744,-93.28815,19
"78","30111",2017-11-05,"Sun",1,2,-1,"Hamline Ave N & University Ave",44.9559764,-93.15670252,15
"79","30007",2017-11-05,"Sun",4,2,2,"9th Street & 4th Ave",44.97265,-93.26872,19
"80","30044",2017-11-05,"Sun",2,1,1,"26th Street & Hennepin",44.9554734,-93.29714298,15
"81","30061",2017-11-05,"Sun",1,0,1,"W 31st Street & Hennepin Ave S",44.946687,-93.29736,19
"82","30202",2017-11-05,"Sun",2,0,2,"Mill City Quarter",44.9805,-93.2618,23
"83","30188",2017-11-05,"Sun",1,2,-1,"S 8th Street & 2nd Ave S",44.974795,-93.270649,19
"84","30137",2017-11-05,"Sun",1,1,0,"Selby Ave & Virginia Street",44.9467,-93.1151,19
"85","30195",2017-11-05,"Sun",2,2,0,"Willey Hall",44.972404,-93.242891,23
"86","30128",2017-11-05,"Sun",1,1,0,"Wells Fargo Place",44.94813,-93.09663,15
"87","30064",2017-11-05,"Sun",1,2,-1,"28th Street & Nicollet Ave. S",44.9519,-93.27831,15
"88","30073",2017-11-05,"Sun",1,2,-1,"West 34th Street  & Hennepin Ave S",44.941388,-93.298634,19
"89","30046",2017-11-05,"Sun",3,1,2,"Washington Ave S & 10th Ave S",44.97654,-93.25535,19
"90","30171",2017-11-05,"Sun",1,3,-2,"SE 3rd Ave & University Ave SE",44.985465,-93.252102,15
"91","30014",2017-11-05,"Sun",1,2,-1,"22nd Ave S & Franklin Ave",44.96293,-93.241042,15
"92","30048",2017-11-05,"Sun",2,3,-1,"Dupont Ave & 22nd Street",44.96146,-93.29303,15
"93","30138",2017-11-05,"Sun",1,1,0,"University Ave & Western Ave",44.95562,-93.11665,15
"94","30181",2017-11-05,"Sun",2,0,2,"5th Ave N & 4th Street N",44.98446,-93.277234,23
"95","30159",2017-11-05,"Sun",1,1,0,"Fort Snelling State Park",44.890527,-93.18237,19
"96","30003",2017-11-05,"Sun",1,0,1,"Plymouth Ave N &  N Oliver Ave",44.991412,-93.306269,15
"97","30153",2017-11-05,"Sun",1,1,0,"Coldwater Spring",44.905043,-93.198283,15
"98","30006",2017-11-05,"Sun",1,3,-2,"YWCA Downtown",44.972217,-93.276435,23
"99","30086",2017-11-05,"Sun",2,2,0,"Macalester College",44.940218,-93.17022,15
"100","30113",2017-11-05,"Sun",1,0,1,"U of M St. Paul Student Center",44.984527,-93.185029,15
"101","30144",2017-11-05,"Sun",1,0,1,"N 4th Ave & W River Parkway",44.988461,-93.269087,15
"102","30162",2017-11-05,"Sun",2,2,0,"Mississippi River Blvd & Summit Ave",44.940288,-93.197997,15
"103","30179",2017-11-05,"Sun",1,2,-1,"Park Ave & 4th Street S",44.97589503,-93.25998902,27
"104","30008",2017-11-05,"Sun",1,2,-1,"Midtown Exchange",44.94859,-93.2602,19
"105","30038",2017-11-05,"Sun",2,0,2,"E Franklin Ave & Bloomington Ave S",44.96285,-93.252269,15
"106","30089",2017-11-05,"Sun",1,2,-1,"Lake Calhoun Center",44.94846717,-93.31729442,27
"107","30154",2017-11-05,"Sun",1,3,-2,"11th Ave S & S 2nd Street",44.97673,-93.252189,23
"108","30054",2017-11-05,"Sun",1,1,0,"Midtown Greenway & 5th Ave S",44.950371,-93.269278,15
