"","Stationnumber","Name","weekday","RidesOut","RidesIn","Rideoutminusin"
"1","30000","100 Main Street SE","Sun",3.89638554216867,4.00722891566265,-0.110843373493976
"2","30000","100 Main Street SE","Sat",4.96338672768879,4.95881006864989,0.0045766590389016
"3","30000","100 Main Street SE","Fri",2.87385321100917,3.12385321100917,-0.25
"4","30000","100 Main Street SE","Thu",1.96448087431694,1.98087431693989,-0.0163934426229508
"5","30000","100 Main Street SE","Wed",2.04709141274238,2.02493074792244,0.0221606648199446
"6","30000","100 Main Street SE","Tue",2.31758530183727,2.60629921259843,-0.288713910761155
"7","30000","100 Main Street SE","Mon",2.63323782234957,2.5702005730659,0.0630372492836676
"8","30001","25th Street & 33rd Ave S","Sat",1.34782608695652,1.29130434782609,0.0565217391304348
"9","30001","25th Street & 33rd Ave S","Fri",0.954372623574145,1.03422053231939,-0.0798479087452472
"10","30001","25th Street & 33rd Ave S","Thu",0.755186721991701,0.925311203319502,-0.170124481327801
"11","30001","25th Street & 33rd Ave S","Wed",0.793774319066148,1.00389105058366,-0.21011673151751
"12","30001","25th Street & 33rd Ave S","Tue",0.795652173913043,1.14347826086957,-0.347826086956522
"13","30001","25th Street & 33rd Ave S","Sun",1.15420560747664,1.20093457943925,-0.0467289719626168
"14","30001","25th Street & 33rd Ave S","Mon",0.890243902439024,1.05284552845528,-0.16260162601626
"15","30002","Riverside Ave & 23rd Ave S","Sat",0.918478260869565,0.902173913043478,0.016304347826087
"16","30002","Riverside Ave & 23rd Ave S","Fri",1.02473498233216,0.968197879858657,0.0565371024734982
"17","30002","Riverside Ave & 23rd Ave S","Thu",1.06734006734007,0.98989898989899,0.0774410774410774
"18","30002","Riverside Ave & 23rd Ave S","Wed",0.921501706484642,0.870307167235495,0.0511945392491468
"19","30002","Riverside Ave & 23rd Ave S","Tue",0.969387755102041,0.870748299319728,0.0986394557823129
"20","30002","Riverside Ave & 23rd Ave S","Mon",0.891696750902527,0.953068592057762,-0.0613718411552347
"21","30002","Riverside Ave & 23rd Ave S","Sun",0.92,0.993333333333333,-0.0733333333333333
"22","30003","Plymouth Ave N &  N Oliver Ave","Sun",0.690909090909091,0.672727272727273,0.0181818181818182
"23","30003","Plymouth Ave N &  N Oliver Ave","Fri",0.694117647058824,0.541176470588235,0.152941176470588
"24","30003","Plymouth Ave N &  N Oliver Ave","Thu",0.761904761904762,0.702380952380952,0.0595238095238095
"25","30003","Plymouth Ave N &  N Oliver Ave","Wed",0.712871287128713,0.534653465346535,0.178217821782178
"26","30003","Plymouth Ave N &  N Oliver Ave","Tue",0.694117647058824,0.647058823529412,0.0470588235294118
"27","30003","Plymouth Ave N &  N Oliver Ave","Mon",0.7,0.5125,0.1875
"28","30003","Plymouth Ave N &  N Oliver Ave","Sat",0.78125,0.71875,0.0625
"29","30004","11th Street & Hennepin","Sun",1.53828306264501,1.4245939675174,0.11368909512761
"30","30004","11th Street & Hennepin","Sat",1.8082788671024,1.62962962962963,0.178649237472767
"31","30004","11th Street & Hennepin","Fri",1.30752212389381,1.55088495575221,-0.243362831858407
"32","30004","11th Street & Hennepin","Thu",1.24465558194774,1.21615201900238,0.0285035629453682
"33","30004","11th Street & Hennepin","Wed",1.32338308457711,1.24875621890547,0.0746268656716418
"34","30004","11th Street & Hennepin","Tue",1.19950738916256,1.16748768472906,0.0320197044334975
"35","30004","11th Street & Hennepin","Mon",1.26648351648352,1.17582417582418,0.0906593406593407
"36","30005","Hennepin & Central Avenue NE","Fri",1.23342175066313,1.37931034482759,-0.145888594164456
"37","30005","Hennepin & Central Avenue NE","Thu",0.987654320987654,1.09567901234568,-0.108024691358025
"38","30005","Hennepin & Central Avenue NE","Wed",0.98989898989899,1.08754208754209,-0.0976430976430976
"39","30005","Hennepin & Central Avenue NE","Sun",1.41558441558442,1.53896103896104,-0.123376623376623
"40","30005","Hennepin & Central Avenue NE","Sat",1.55522388059701,1.75522388059701,-0.2
"41","30005","Hennepin & Central Avenue NE","Tue",1.11221122112211,1.15181518151815,-0.0396039603960396
"42","30005","Hennepin & Central Avenue NE","Mon",1.01712328767123,1.17123287671233,-0.154109589041096
"43","30006","YWCA Downtown","Sun",1.58579881656805,1.39349112426035,0.192307692307692
"44","30006","YWCA Downtown","Sat",1.61290322580645,1.53494623655914,0.0779569892473118
"45","30006","YWCA Downtown","Fri",1.42482100238663,1.32219570405728,0.102625298329356
"46","30006","YWCA Downtown","Thu",1.5049504950495,1.17821782178218,0.326732673267327
"47","30006","YWCA Downtown","Wed",1.59848484848485,1.11111111111111,0.487373737373737
"48","30006","YWCA Downtown","Tue",1.61953727506427,1.43444730077121,0.185089974293059
"49","30006","YWCA Downtown","Mon",1.71916010498688,1.38320209973753,0.335958005249344
"50","30007","9th Street & 4th Ave","Sun",1.14705882352941,0.819327731092437,0.327731092436975
"51","30007","9th Street & 4th Ave","Fri",1.12391930835735,1.09221902017291,0.031700288184438
"52","30007","9th Street & 4th Ave","Thu",1.10693641618497,1.11849710982659,-0.0115606936416185
"53","30007","9th Street & 4th Ave","Tue",1.18181818181818,1.04692082111437,0.134897360703812
"54","30007","9th Street & 4th Ave","Mon",1.03768115942029,1.01449275362319,0.0231884057971014
"55","30007","9th Street & 4th Ave","Sat",1.15686274509804,1.12549019607843,0.0313725490196078
"56","30007","9th Street & 4th Ave","Wed",1.07079646017699,1.05309734513274,0.0176991150442478
"57","30008","Midtown Exchange","Sun",1.74433656957929,1.72168284789644,0.0226537216828479
"58","30008","Midtown Exchange","Sat",1.79166666666667,1.77222222222222,0.0194444444444444
