,Stationnumber,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
26,30025,0.5,1,1,0,0,0,-0.833333333,-1.608695652,-3.24137931,-3.642857143,-1.923076923,0.185185185,1.551724138,-0.833333333,-0.333333333,1.392857143,3.285714286,1.185185185,0.703703704,0.090909091,1.714285714,0.428571429,0.9,0.363636364
27,30026,1.333333333,0,1.5,0,0,-1.181818182,-2.074074074,-2,-2.333333333,-1,-0.529411765,0.2,0.321428571,0.44,0.045454545,1.555555556,1.407407407,2.148148148,1.142857143,1,-0.055555556,0.5,0,0.5
28,30027,0.5,1.166666667,-0.333333333,1,1,0.333333333,0,-0.6,-2,-2,-0.807692308,0.275862069,-0.892857143,0,0.62962963,0.615384615,-0.407407407,0.607142857,0.555555556,0.222222222,0.68,0.5,1.333333333,0.266666667
29,30028,0.333333333,1,1,0,1,0.846153846,0.130434783,-0.727272727,-2.357142857,0.142857143,0.071428571,0.846153846,0.238095238,0.166666667,-0.142857143,0.090909091,0.8,0.8,0,0,0.066666667,0.166666667,0.333333333,2.666666667
30,30029,0.666666667,0,-1,0,-1,-1,-2.25,-6.466666667,-8.551724138,-2.533333333,-0.84,0.178571429,-0.076923077,-0.826086957,0.269230769,3.827586207,8.103448276,4.774193548,3.892857143,1.777777778,0.764705882,0.904761905,0.25,-0.125
31,30030,-0.333333333,0,-1,-1,0,-1,0,0.681818182,1.392857143,1.678571429,1.714285714,0.869565217,-0.083333333,0.045454545,0.666666667,-0.476190476,-0.269230769,-2.344827586,0.2,0.695652174,0.904761905,-0.941176471,-1.214285714,-1
32,30031,0,1,0,0,0,-0.333333333,-0.1,-1.043478261,-1.555555556,-1.5,-0.153846154,0.653846154,1.321428571,-0.724137931,-0.272727273,0.952380952,0.962962963,1.592592593,0.72,1.541666667,0,0.5,-0.5,1
33,30032,1.333333333,1,-0.333333333,-1,0,1,0.25,1.416666667,2.518518519,1.76,0.45,-0.458333333,-0.384615385,0.37037037,-0.545454545,-0.285714286,-2.814814815,-1.888888889,-0.25,0.230769231,-0.041666667,-0.476190476,-0.545454545,-0.333333333
34,30033,0,0,-1,0,0,0,-0.5,1.125,0.5,-0.214285714,0,0.083333333,0.25,0.181818182,0.230769231,-0.214285714,-0.421052632,-1.272727273,-0.3,-0.5,0.285714286,0,-2.25,-1
35,30034,-0.454545455,0.5,0.333333333,-1,-0.75,1,0.782608696,0.25,2.1,1.321428571,0.409090909,-0.678571429,-0.222222222,0,-0.52,-1.068965517,-0.75,0.233333333,-0.225806452,-0.266666667,-0.48,-1,-1,-0.222222222
36,30035,-1,0,0,0,0,0,-0.666666667,-1.111111111,-0.692307692,-0.833333333,0,0.296296296,-0.5,-0.117647059,-0.066666667,0.526315789,1.379310345,0.941176471,0.444444444,0.222222222,-0.384615385,-0.5,-0.5,1
37,30037,0.5,1.5,1,0,-1.037037037,0,1.166666667,1.434782609,0.352941176,0.285714286,0.733333333,0.2,-0.076923077,0.666666667,-0.166666667,-0.652173913,-0.333333333,0.482758621,-0.526315789,-0.157894737,-0.384615385,0.555555556,-1,-0.5
38,30038,1,-1,0,-0.5,-1,1,-1,-0.222222222,1,-0.2,0.666666667,0.5,0.6,0.181818182,0.125,-0.222222222,-0.363636364,0,0.083333333,-1,0.333333333,0,-0.8,0
39,30039,0,-1,1,-1,0,-1,-1,-0.857142857,-3.115384615,-1.5,0,0,-0.142857143,-0.318181818,0.277777778,0.739130435,0.782608696,2.16,0.666666667,1,1,0.615384615,-0.333333333,0
40,30040,-0.5,1.25,-6,0,0,0.333333333,-0.75,-0.333333333,-1.074074074,1.037037037,0.818181818,0.875,-0.555555556,-0.769230769,-0.368421053,-1.115384615,0.076923077,0.782608696,0.428571429,0.315789474,0.285714286,-0.785714286,-1.25,-0.125
41,30041,0,0,-1,-1,1,1,1,1.416666667,1.565217391,1.222222222,0.5,-1,0,0.9,-0.75,0.125,-0.764705882,-1.086956522,-0.695652174,-0.461538462,-0.333333333,-1.5,-0.8,0
42,30042,-1,-0.25,1,-1,0,-1.3,-1.19047619,-2.777777778,-4.379310345,-1.260869565,-1.04,0.678571429,-0.7,-0.24137931,-0.148148148,1.517241379,2.533333333,4.448275862,2.866666667,0.913043478,0.888888889,0.352941176,1.25,0.4
43,30043,0,0.5,0,0,0,0,0,-0.214285714,0.090909091,0.583333333,-0.428571429,-0.933333333,0.421052632,0.588235294,0.461538462,-0.8,-1.086956522,-0.526315789,-0.647058824,-0.25,-0.076923077,1.230769231,0,-1
44,30044,-1,0,2,-1,0,1.5,0.5,1.222222222,0.714285714,-0.666666667,0.076923077,-0.181818182,0.666666667,-0.333333333,-0.277777778,-0.357142857,-0.384615385,-0.727272727,-0.428571429,0,-0.588235294,0.416666667,-0.25,-0.5
45,30045,-1,-1,1,0,-0.6,-1,1.166666667,0.5,1.105263158,0.894736842,0.0625,-0.066666667,0,0,0.285714286,-0.388888889,-1.1,-1.153846154,-0.391304348,-0.473684211,-0.315789474,0.111111111,0.714285714,1
46,30046,1.75,-0.5,1,0,0,1,1,1.4,1.714285714,0.722222222,0.5,-0.642857143,-0.111111111,0.230769231,0.666666667,-0.473684211,-1.185185185,-0.4,-0.291666667,0.444444444,-0.416666667,0.384615385,-0.666666667,-0.75
47,30047,-0.5,-1.333333333,-1.5,0,0,-1,-0.692307692,0.470588235,1.117647059,0.454545455,-0.2,0.5,0.217391304,-0.869565217,-0.157894737,1.038461538,-1.48,-1.192307692,-0.375,0.142857143,0,-0.210526316,0.454545455,0.666666667
48,30048,-0.75,0,-0.5,0,1,1,0.916666667,-0.25,0.058823529,-0.071428571,-0.5,-0.095238095,0.1,0.823529412,-0.235294118,-1.1,-0.6,0.157894737,-0.5,-0.714285714,-0.8,0,0,0.111111111
49,30049,0.6,0,0.5,-0.666666667,0,1,0,0.555555556,0.777777778,1,1,-0.25,0.6,-0.25,-0.75,-0.25,-0.857142857,-0.466666667,-0.444444444,0.285714286,-0.5,-0.571428571,-0.833333333,-1
50,30050,1,-1,-3,-1,0,1,-0.458333333,-0.285714286,-2.285714286,-1.444444444,-0.315789474,1,-0.578947368,0.565217391,0.1,-0.041666667,1.692307692,1.518518519,1.538461538,0.266666667,0.285714286,-0.571428571,-0.5,-1
51,30051,-5,-0.5,0,-1,1,1,-1.333333333,-3.551724138,-4.5,-1.043478261,0.047619048,-0.041666667,-0.238095238,-0.157894737,-0.263157895,1.777777778,4.448275862,2.851851852,1.2,0,0.5,-0.285714286,0.428571429,0
52,30052,-0.25,-0.25,1.5,-4,0,1,0,1,1.956521739,0.5,0.1,0.642857143,0.647058824,0.4375,-1.277777778,-0.1875,-0.428571429,-0.608695652,-1.111111111,0.071428571,-0.307692308,-0.166666667,-0.666666667,-0.5
53,30053,0,2,0,-3,-1,-0.888888889,-1,0.210526316,-1.6,-1.8,-0.538461538,-1,-0.117647059,0.181818182,-0.428571429,-0.380952381,-1.208333333,0.851851852,0,0.047619048,0.277777778,1.818181818,3.333333333,2
54,30054,-1,0,-0.333333333,0,0,-1,0.416666667,-0.75,-0.555555556,0.444444444,-0.25,0,0.5,-0.444444444,0.529411765,-0.055555556,-0.105263158,0,0.625,0.416666667,-0.571428571,-0.785714286,0,-0.4
55,30055,0,0,0,0,0,0,1,0,0,1,0.333333333,-0.6,-0.875,0.428571429,-1.222222222,-0.25,-0.363636364,-1.285714286,0.466666667,0,0.333333333,0.2,1.333333333,1
